"","sort.unique.data1.to_station_name.."
"1","2112 W Peterson Ave"
"2","63rd St Beach"
"3","900 W Harrison St"
"4","Aberdeen St & Jackson Blvd"
"5","Aberdeen St & Monroe St"
"6","Aberdeen St & Randolph St"
"7","Ada St & Washington Blvd"
"8","Adler Planetarium"
"9","Albany Ave & 26th St"
"10","Albany Ave & Bloomingdale Ave"
"11","Albany Ave & Montrose Ave"
"12","Archer Damen Ave & 37th St"
"13","Archer Damen Ave & 37th St ()"
"14","Artesian Ave & Hubbard St"
"15","Ashland Ave & 13th St"
"16","Ashland Ave & 21st St"
"17","Ashland Ave & 50th St"
"18","Ashland Ave & 63rd St"
"19","Ashland Ave & 66th St"
"20","Ashland Ave & 69th St"
"21","Ashland Ave & Archer Ave"
"22","Ashland Ave & Augusta Blvd"
"23","Ashland Ave & Belle Plaine Ave"
"24","Ashland Ave & Blackhawk St"
"25","Ashland Ave & Chicago Ave"
"26","Ashland Ave & Division St"
"27","Ashland Ave & Garfield Blvd"
"28","Ashland Ave & Grace St"
"29","Ashland Ave & Grand Ave"
"30","Ashland Ave & Lake St"
"31","Ashland Ave & Lake St Temp"
"32","Ashland Ave & McDowell Ave"
"33","Ashland Ave & Pershing Rd"
"34","Ashland Ave & Wellington Ave"
"35","Ashland Ave & Wrightwood Ave"
"36","Austin Blvd & Chicago Ave"
"37","Austin Blvd & Lake St"
"38","Austin Blvd & Madison St"
"39","Avers Ave & Belmont Ave"
"40","Avondale Ave & Irving Park Rd"
"41","Bennett Ave & 79th St"
"42","Benson Ave & Church St"
"43","Bernard St & Elston Ave"
"44","Bissell St & Armitage Ave"
"45","Blackstone Ave & Hyde Park Blvd"
"46","Blue Island Ave & 18th St"
"47","Bosworth Ave & Howard St"
"48","Broadway & Argyle St"
"49","Broadway & Barry Ave"
"50","Broadway & Belmont Ave"
"51","Broadway & Berwyn Ave"
"52","Broadway & Cornelia Ave"
"53","Broadway & Granville Ave"
"54","Broadway & Ridge Ave"
"55","Broadway & Sheridan Rd"
"56","Broadway & Thorndale Ave"
"57","Broadway & Waveland Ave"
"58","Broadway & Wilson Ave"
"59","Buckingham Fountain"
"60","Buckingham Fountain Temp"
"61","Budlong Woods Library"
"62","Burling St Halsted & Diversey Pkwy (Temp)"
"63","Burnham Harbor"
"64","California Ave & 21st St"
"65","California Ave & 23rd Pl"
"66","California Ave & 26th St"
"67","California Ave & Altgeld St"
"68","California Ave & Byron St"
"69","California Ave & Cortez St"
"70","California Ave & Division St"
"71","California Ave & Fletcher St"
"72","California Ave & Francis Pl"
"73","California Ave & Francis Pl Temp"
"74","California Ave & Lake St"
"75","California Ave & Milwaukee Ave"
"76","California Ave & Montrose Ave"
"77","California Ave & North Ave"
"78","Calumet Ave & 18th St"
"79","Calumet Ave & 21st St"
"80","Calumet Ave & 33rd St"
"81","Calumet Ave & 35th St"
"82","Calumet Ave & 51st St"
"83","Calumet Ave & 71st St"
"84","Campbell Ave & Fullerton Ave"
"85","Campbell Ave & Montrose Ave"
"86","Campbell Ave & North Ave"
"87","Canal St & Adams St"
"88","Canal St & Harrison St"
"89","Canal St & Jackson Blvd"
"90","Canal St & Madison St"
"91","Canal St & Monroe St"
"92","Canal St & Taylor St"
"93","Cannon Dr & Fullerton Ave"
"94","Carpenter St & 63rd St"
"95","Carpenter St & Huron St"
"96","Central Ave & Chicago Ave"
"97","Central Ave & Harrison St"
"98","Central Ave & Lake St"
"99","Central Ave & Madison St"
"100","Central Park Ave & 24th St"
"101","Central Park Ave & Bloomingdale Ave"
"102","Central Park Ave & Elbridge Ave"
"103","Central Park Ave & North Ave"
"104","Central Park Ave & Ogden Ave"
"105","Central Park Blvd & 5th Ave"
"106","Central St & Girard Ave"
"107","Central St Metra"
"108","Cherry Ave & Blackhawk St"
"109","Chicago Ave & Dempster St"
"110","Chicago Ave & Sheridan Rd"
"111","Chicago Ave & Washington St"
"112","Christiana Ave & Lawrence Ave"
"113","Cicero Ave & Flournoy St"
"114","Cicero Ave & Lake St"
"115","Cicero Ave & Quincy St"
"116","Cityfront Plaza Dr & Pioneer Ct"
"117","Claremont Ave & Hirsch St"
"118","Clarendon Ave & Gordon Ter"
"119","Clarendon Ave & Junior Ter"
"120","Clarendon Ave & Leland Ave"
"121","Clark St & 9th St AMLI"
"122","Clark St & Armitage Ave"
"123","Clark St & Berwyn Ave"
"124","Clark St & Bryn Mawr Ave"
"125","Clark St & Chicago Ave"
"126","Clark St & Columbia Ave"
"127","Clark St & Drummond Pl"
"128","Clark St & Elm St"
"129","Clark St & Elmdale Ave"
"130","Clark St & Grace St"
"131","Clark St & Ida B Wells Dr"
"132","Clark St & Jarvis Ave"
"133","Clark St & Lake St"
"134","Clark St & Leland Ave"
"135","Clark St & Lincoln Ave"
"136","Clark St & Lunt Ave"
"137","Clark St & Montrose Ave"
"138","Clark St & Newport St"
"139","Clark St & North Ave"
"140","Clark St & Randolph St"
"141","Clark St & Schiller St"
"142","Clark St & Schreiber Ave"
"143","Clark St & Touhy Ave"
"144","Clark St & Wellington Ave"
"145","Clark St & Winnemac Ave"
"146","Clark St & Wrightwood Ave"
"147","Clifton Ave & Armitage Ave"
"148","Clinton St & 18th St"
"149","Clinton St & Jackson Blvd"
"150","Clinton St & Lake St"
"151","Clinton St & Madison St"
"152","Clinton St & Polk St"
"153","Clinton St & Roosevelt Rd"
"154","Clinton St & Tilden St"
"155","Clinton St & Washington Blvd"
"156","Clybourn Ave & Division St"
"157","Columbus Dr & Randolph St"
"158","Commercial Ave & 83rd St"
"159","Conservatory Dr & Lake St"
"160","Cornell Ave & Hyde Park Blvd"
"161","Cornell Dr & Hayes Dr"
"162","Cottage Grove Ave & 43rd St"
"163","Cottage Grove Ave & 47th St"
"164","Cottage Grove Ave & 51st St"
"165","Cottage Grove Ave & 63rd St"
"166","Cottage Grove Ave & 67th St"
"167","Cottage Grove Ave & 71st St"
"168","Cottage Grove Ave & 78th St"
"169","Cottage Grove Ave & 83rd St"
"170","Cottage Grove Ave & Oakwood Blvd"
"171","Daley Center Plaza"
"172","Damen Ave & 51st St"
"173","Damen Ave & 59th St"
"174","Damen Ave & Charleston St"
"175","Damen Ave & Chicago Ave"
"176","Damen Ave & Clybourn Ave"
"177","Damen Ave & Cortland St"
"178","Damen Ave & Coulter St"
"179","Damen Ave & Cullerton St"
"180","Damen Ave & Division St"
"181","Damen Ave & Foster Ave"
"182","Damen Ave & Grand Ave"
"183","Damen Ave & Leland Ave"
"184","Damen Ave & Madison St"
"185","Damen Ave & Melrose Ave"
"186","Damen Ave & Pershing Rd"
"187","Damen Ave & Pierce Ave"
"188","Damen Ave & Sunnyside Ave"
"189","Damen Ave & Thomas St Augusta Blvd"
"190","Damen Ave & Walnut Lake St ()"
"191","Damen Ave & Wellington Ave"
"192","Dayton St & North Ave"
"193","Dearborn Pkwy & Delaware Pl"
"194","Dearborn St & Adams St"
"195","Dearborn St & Erie St"
"196","Dearborn St & Monroe St"
"197","Dearborn St & Van Buren St"
"198","Delano Ct & Roosevelt Rd"
"199","Desplaines St & Jackson Blvd"
"200","Desplaines St & Kinzie St"
"201","Desplaines St & Randolph St"
"202","DIVVY CASSETTE REPAIR MOBILE STATION"
"203","DIVVY Map Frame B/C Station"
"204","Dodge Ave & Church St"
"205","Dodge Ave & Mulford St"
"206","Dorchester Ave & 49th St"
"207","Dorchester Ave & 63rd St"
"208","Drake Ave & Addison St"
"209","Drake Ave & Fullerton Ave"
"210","Drake Ave & Montrose Ave"
"211","Dusable Harbor"
"212","DuSable Museum"
"213","Eastlake Ter & Rogers Ave"
"214","Eberhart Ave & 61st St"
"215","Eckhart Park"
"216","Eggleston Ave & 69th St"
"217","Elizabeth May St & Fulton St"
"218","Elizabeth St & 47th St"
"219","Elizabeth St & 59th St"
"220","Ellis Ave & 53rd St"
"221","Ellis Ave & 55th St"
"222","Ellis Ave & 58th St"
"223","Ellis Ave & 60th St"
"224","Ellis Ave & 83rd St"
"225","Elmwood Ave & Austin St"
"226","Elston Ave & Wabansia Ave"
"227","Emerald Ave & 28th St"
"228","Emerald Ave & 31st St"
"229","Evans Ave & 75th St"
"230","Evanston Civic Center"
"231","Exchange Ave & 79th St"
"232","Fairbanks Ct & Grand Ave"
"233","Fairbanks St & Superior St"
"234","Fairfield Ave & Roosevelt Rd"
"235","Federal St & Polk St"
"236","Field Blvd & South Water St"
"237","Field Museum"
"238","Financial Pl & Ida B Wells Dr"
"239","Financial Pl & Ida B Wells Dr Temp"
"240","Fort Dearborn Dr & 31st St"
"241","Francisco Ave & Foster Ave"
"242","Franklin St & Adams St Temp"
"243","Franklin St & Chicago Ave"
"244","Franklin St & Chicago Ave Temp"
"245","Franklin St & Illinois St"
"246","Franklin St & Jackson Blvd"
"247","Franklin St & Lake St"
